res	1920	1088
frame	id	x	y	area
C:\Users\PC\PycharmProjects\Particle_ID_and_Tracking\data1\raw\250_0000000001.bmp	1	31	908.0	520.0	43
C:\Users\PC\PycharmProjects\Particle_ID_and_Tracking\data1\raw\250_0000000001.bmp	1	32	1006.0	628.0	43
C:\Users\PC\PycharmProjects\Particle_ID_and_Tracking\data1\raw\250_0000000001.bmp	1	33	1064.0	475.0	43
C:\Users\PC\PycharmProjects\Particle_ID_and_Tracking\data1\raw\250_0000000001.bmp	1	34	1160.0	506.0	43
C:\Users\PC\PycharmProjects\Particle_ID_and_Tracking\data1\raw\250_0000000001.bmp	1	35	1012.0	560.0	42
C:\Users\PC\PycharmProjects\Particle_ID_and_Tracking\data1\raw\250_0000000001.bmp	1	36	1135.0	50.0	42
C:\Users\PC\PycharmProjects\Particle_ID_and_Tracking\data1\raw\250_0000000001.bmp	1	37	1192.0	684.0	42
C:\Users\PC\PycharmProjects\Particle_ID_and_Tracking\data1\raw\250_0000000001.bmp	1	38	1329.0	614.0	42
C:\Users\PC\PycharmProjects\Particle_ID_and_Tracking\data1\raw\250_0000000001.bmp	1	39	982.0	608.0	41
C:\Users\PC\PycharmProjects\Particle_ID_and_Tracking\data1\raw\250_0000000001.bmp	1	40	1033.0	781.0	41
C:\Users\PC\PycharmProjects\Particle_ID_and_Tracking\data1\raw\250_0000000001.bmp	1	41	1060.0	980.0	41
C:\Users\PC\PycharmProjects\Particle_ID_and_Tracking\data1\raw\250_0000000001.bmp	1	42	1010.0	590.0	40
C:\Users\PC\PycharmProjects\Particle_ID_and_Tracking\data1\raw\250_0000000001.bmp	1	43	1293.0	467.0	40
C:\Users\PC\PycharmProjects\Particle_ID_and_Tracking\data1\raw\250_0000000001.bmp	1	44	1143.0	396.0	39
C:\Users\PC\PycharmProjects\Particle_ID_and_Tracking\data1\raw\250_0000000001.bmp	1	45	1144.0	248.0	39
C:\Users\PC\PycharmProjects\Particle_ID_and_Tracking\data1\raw\250_0000000001.bmp	1	46	1193.0	465.0	39
C:\Users\PC\PycharmProjects\Particle_ID_and_Tracking\data1\raw\250_0000000001.bmp	1	47	736.0	650.0	38
C:\Users\PC\PycharmProjects\Particle_ID_and_Tracking\data1\raw\250_0000000001.bmp	1	48	1021.0	654.0	38
C:\Users\PC\PycharmProjects\Particle_ID_and_Tracking\data1\raw\250_0000000001.bmp	1	49	1186.0	416.0	38
C:\Users\PC\PycharmProjects\Particle_ID_and_Tracking\data1\raw\250_0000000001.bmp	1	50	1126.0	437.0	37
C:\Users\PC\PycharmProjects\Particle_ID_and_Tracking\data1\raw\250_0000000001.bmp	1	51	1260.0	516.0	37
C:\Users\PC\PycharmProjects\Particle_ID_and_Tracking\data1\raw\250_0000000001.bmp	1	52	1078.0	667.0	36
C:\Users\PC\PycharmProjects\Particle_ID_and_Tracking\data1\raw\250_0000000001.bmp	1	53	1468.0	729.0	36
C:\Users\PC\PycharmProjects\Particle_ID_and_Tracking\data1\raw\250_0000000001.bmp	1	54	946.0	761.0	35
C:\Users\PC\PycharmProjects\Particle_ID_and_Tracking\data1\raw\250_0000000001.bmp	1	55	1070.0	631.0	35
C:\Users\PC\PycharmProjects\Particle_ID_and_Tracking\data1\raw\250_0000000001.bmp	1	56	1146.0	935.0	35
C:\Users\PC\PycharmProjects\Particle_ID_and_Tracking\data1\raw\250_0000000001.bmp	1	57	1198.0	1037.0	35
C:\Users\PC\PycharmProjects\Particle_ID_and_Tracking\data1\raw\250_0000000001.bmp	1	58	1046.0	512.0	34
